Flag	Country	Currency	Code ISO 4217	Symbol	Hex Symbol
Albania flag	Albania	Lek	ALL	Lek	4c, 65, 6b
Afghanistan flag	Afghanistan	Afghani	AFN	؋	60b
Argentina flag	Argentina	Peso	ARS	$	24
Aruba flag	Aruba	Guilder	AWG	ƒ	192
Australia flag	Australia	Dollar	AUD	$	24
Azerbaijan flag	Azerbaijan	Manat	AZN	ман	43c, 430, 43d
Bahamas flag	Bahamas	Dollar	BSD	$	24
Barbados flag	Barbados	Dollar	BBD	$	24
Belarus flag	Belarus	Ruble	BYR	p.	70, 2e
Belize flag	Belize	Dollar	BZD	BZ$	42, 5a, 24
Bermuda flag	Bermuda	Dollar	BMD	$	24
Bolivia flag	Bolivia	Boliviano	BOB	$b	24, 62
Bosnia and Herzegovina flag	Bosnia and Herzegovina	Convertible Marka	BAM	KM	4b, 4d
Botswana flag	Botswana	Pula	BWP	P	50
Bulgaria flag	Bulgaria	Lev	BGN	лв	43b, 432
Brazil flag	Brazil	Real	BRL	R$	52, 24
Brunei flag	Brunei	Darussalam Dollar	BND	$	24
Cambodia flag	Cambodia	Riel	KHR	៛	17db
Canada flag	Canada	Dollar	CAD	$	24
Cayman Island flag	Cayman	Dollar	KYD	$	24
Chile flag	Chile	Peso	CLP	$	24
China flag	China	Yuan Renminbi	CNY	¥	a5
Colombia flag	Colombia	Peso	COP	$	24
Costa Rica flag	Costa Rica	Colon	CRC	₡	20a1
Croatia flag	Croatia	Kuna	HRK	kn	6b, 6e
Cuba flag	Cuba	Peso	CUP	₱	20b1
Czech Republic flag	Czech Republic	Koruna	CZK	Kč	4b, 10d
Denmark flag	Denmark	Krone	DKK	kr	6b, 72
Dominican Republic flag	Dominican Republic	Peso	DOP	RD$	52, 44, 24
No flag	East Caribbean	Dollar	XCD	$	24
Egypt flag	Egypt	Pound	EGP	£	a3
El Salvador flag	El Salvador	Colon	SVC	$	24
Estonia flag	Estonia	Kroon	EEK	kr	6b, 72
